사고일시,요일,시군구,요일_label,노면상태,노면상태_label,기상상태,도로형태,기상상태_label,도로형태_label,사상자합계
2022년 6월 29일 09시,수요일,세종특별자치시 어진동,2,젖음/습기,1,비,단일로 - 기타,4,1,1
2022년 6월 29일 12시,수요일,세종특별자치시 전동면,2,건조,0,흐림,단일로 - 기타,1,1,1
2022년 6월 29일 16시,수요일,세종특별자치시 어진동,2,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 6월 29일 17시,수요일,세종특별자치시 나성동,2,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 6월 29일 18시,수요일,세종특별자치시 조치원읍,2,젖음/습기,1,비,교차로 - 교차로부근,4,4,1
2022년 6월 30일 08시,목요일,세종특별자치시 연기면,3,건조,0,흐림,단일로 - 기타,1,1,1
2022년 6월 30일 11시,목요일,세종특별자치시 나성동,3,건조,0,맑음,교차로 - 교차로부근,0,4,2
2022년 6월 30일 16시,목요일,세종특별자치시 조치원읍,3,건조,0,흐림,교차로 - 교차로안,1,0,1
2022년 6월 30일 16시,목요일,세종특별자치시 아름동,3,건조,0,맑음,교차로 - 교차로안,0,0,4
2022년 6월 30일 16시,목요일,세종특별자치시 종촌동,3,건조,0,흐림,교차로 - 교차로안,1,0,2
2022년 6월 30일 23시,목요일,세종특별자치시 보람동,3,젖음/습기,1,흐림,교차로 - 교차로부근,1,4,2
2022년 7월 1일 16시,금요일,세종특별자치시 부강면,4,건조,0,맑음,단일로 - 기타,0,1,4
2022년 7월 1일 17시,금요일,세종특별자치시 전의면,4,건조,0,맑음,단일로 - 기타,0,1,2
2022년 7월 2일 15시,토요일,세종특별자치시 연서면,6,건조,0,맑음,교차로 - 교차로안,0,0,3
2022년 7월 3일 13시,일요일,세종특별자치시 아름동,0,건조,0,맑음,교차로 - 교차로부근,0,4,2
2022년 7월 3일 13시,일요일,세종특별자치시 금남면,0,건조,0,맑음,교차로 - 교차로안,0,0,3
2022년 7월 3일 17시,일요일,세종특별자치시 장군면,0,건조,0,맑음,단일로 - 기타,0,1,3
2022년 7월 3일 21시,일요일,세종특별자치시 종촌동,0,기타,3,흐림,기타 - 기타,1,2,1
2022년 7월 4일 03시,월요일,세종특별자치시 연기면,1,건조,0,맑음,단일로 - 교량,0,9,2
2022년 7월 4일 08시,월요일,세종특별자치시 아름동,1,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 7월 5일 07시,화요일,세종특별자치시 소담동,5,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 7월 5일 08시,화요일,세종특별자치시 새롬동,5,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 5일 17시,화요일,세종특별자치시 종촌동,5,건조,0,맑음,단일로 - 기타,0,1,2
2022년 7월 5일 21시,화요일,세종특별자치시 종촌동,5,건조,0,기타,단일로 - 기타,3,1,1
2022년 7월 6일 17시,수요일,세종특별자치시 종촌동,2,젖음/습기,1,흐림,교차로 - 교차로안,1,0,1
2022년 7월 7일 14시,목요일,세종특별자치시 나성동,3,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 7월 7일 14시,목요일,세종특별자치시 종촌동,3,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 7월 7일 15시,목요일,세종특별자치시 종촌동,3,건조,0,맑음,기타 - 기타,0,2,1
2022년 7월 7일 16시,목요일,세종특별자치시 고운동,3,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 7월 7일 21시,목요일,세종특별자치시 나성동,3,젖음/습기,1,흐림,단일로 - 기타,1,1,1
2022년 7월 8일 07시,금요일,세종특별자치시 전의면,4,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 7월 8일 10시,금요일,세종특별자치시 도담동,4,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 7월 9일 16시,토요일,세종특별자치시 도담동,6,건조,0,맑음,교차로 - 교차로안,0,0,1
